KEY,STATE_1,STATE_2,STATE_3,STATE_4,STATE_5,STATE_6,DISTANCE
1,IA,NY,WI,TX,CA,DC,6642.4
2,IA,WI,NY,TX,CA,DC,6441.4
3,IA,TX,NY,WI,CA,DC,7250.7
4,IA,NY,TX,WI,CA,DC,7659.1
5,IA,WI,TX,NY,CA,DC,7669.6
6,IA,TX,WI,NY,CA,DC,7462.2
7,IA,CA,WI,NY,TX,DC,6860.6
8,IA,WI,CA,NY,TX,DC,7313.0
9,IA,NY,CA,WI,TX,DC,7514.0
10,IA,CA,NY,WI,TX,DC,7072.1
11,IA,WI,NY,CA,TX,DC,6296.3
12,IA,NY,WI,CA,TX,DC,6285.8
13,IA,NY,TX,CA,WI,DC,6459.3
14,IA,TX,NY,CA,WI,DC,7279.1
15,IA,CA,NY,TX,WI,DC,7245.6
16,IA,NY,CA,TX,WI,DC,6670.8
17,IA,TX,CA,NY,WI,DC,6262.4
18,IA,CA,TX,NY,WI,DC,6017.4
19,IA,CA,TX,WI,NY,DC,5046.5
20,IA,TX,CA,WI,NY,DC,5080.0
21,IA,WI,CA,TX,NY,DC,5287.4
22,IA,CA,WI,TX,NY,DC,6063.2
23,IA,TX,WI,CA,NY,DC,6308.2
24,IA,WI,TX,CA,NY,DC,5498.9
